WARNING: 2 open meshes merged
     Merged: WingGeom
     Merged: Vtail
...Mass Properties...
68 Num Comps
35 Total Num Meshes
15840 Total Num Tris

1.039702130762993e+01             Total Mass
5.085019971673077e-01 -8.227361139565856e-05 8.195117950636249e-01       Center of Gravity
5.833307112840854e-01 1.040036998716569e+00 1.322124268524574e+00       Ixx, Iyy, Izz
-4.669952226987959e-04 9.167326541968675e-02 -5.809878752371276e-05       Ixy, Ixz, Iyz
4.731396769537023e-02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Attuatore Ruddervator dx	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.485599999999952e-05
Attuatore Ruddervator sx	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.420439999999999e-05
WingGeom_pm	1.300000000000000e+00	6.144780027311850e-01	0.000000000000000e+00	8.449041509287790e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
WingGeom_pm	1.300000000000000e+00	6.144780027311850e-01	0.000000000000000e+00	8.449041509287790e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Batteria_1_pm	9.730000000000000e-01	4.200000000000000e-01	2.500000000000000e-02	7.980000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Batteria_2_pm	9.730000000000000e-01	4.200000000000000e-01	-2.480000000000000e-02	7.980000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Serbatoio_pm	1.180000000000000e+00	1.450000000000000e-01	0.000000000000000e+00	8.350000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
FuselageGeom_pm	9.840000000000000e-01	4.550000000000000e-01	0.000000000000000e+00	8.333333333333339e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Motore ant dx_pm	3.000000000000000e-01	2.050000000000000e-01	7.000000000000000e-01	8.730000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Motore ant sx_pm	3.000000000000000e-01	2.050000000000000e-01	-7.000000000000000e-01	8.730000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Motore post sx_pm	3.000000000000000e-01	1.030000000000000e+00	-3.000000000000000e-01	8.330000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Motore post dx_pm	3.000000000000000e-01	1.030000000000000e+00	3.000000000000000e-01	8.330000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Pompa_pm	2.130000000000000e-01	2.835000000000000e-01	0.000000000000000e+00	7.950000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Elettrovalvola_pm	2.180000000000000e-01	2.175000000000000e-01	0.000000000000000e+00	7.830000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
CubeOrange_pm	7.199999999999999e-02	6.672500000000000e-01	0.000000000000000e+00	8.830000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
ESC1_pm	8.500000000000001e-02	4.945000000000001e-01	-7.000000000000000e-01	8.530000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
ESC2_pm	8.500000000000001e-02	7.645000000000000e-01	3.000000000000000e-02	8.790000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
ESC3_pm	8.500000000000001e-02	4.945000000000001e-01	7.000000000000000e-01	8.530000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
ESC4_pm	8.500000000000001e-02	7.645000000000000e-01	-3.000000000000000e-02	8.790000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
TD SR18 Receiver_pm	3.000000000000000e-02	8.335000000000000e-01	-4.000000000000000e-02	8.730000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
RFD 900X Telemetry _pm	1.500000000000000e-02	1.100000000000000e-01	1.000000000000000e-02	8.880000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
CubeID_pm	1.000000000000000e-02	7.250000000000000e-02	0.000000000000000e+00	9.030000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
FrSky Archer_pm	2.100000000000000e-02	8.145000000000000e-01	0.000000000000000e+00	8.980000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Tensore di corrente_pm	2.200000000000000e-02	7.520000000000000e-01	0.000000000000000e+00	7.730000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Mauch021 BEC FC_pm	2.600000000000000e-02	7.595000000000000e-01	0.000000000000000e+00	8.230000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
SBEC1_pm	5.000000000000000e-02	6.060000000000000e-01	0.000000000000000e+00	8.430000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
SBEC2_pm	5.000000000000000e-02	1.236000000000000e+00	0.000000000000000e+00	8.630000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
GNSS Here4_pm	6.000000000000000e-02	6.840000000000001e-01	0.000000000000000e+00	9.130000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Vtail_pm	2.420000000000000e-01	1.254120000000000e+00	0.000000000000000e+00	8.330000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Vtail_pm	2.420000000000000e-01	1.254120000000000e+00	0.000000000000000e+00	8.330000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Paracadute_pm	6.000000000000000e-01	3.693714993739426e-01	0.000000000000000e+00	8.935369543531190e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Attuatore Tilt_pm	7.099999999999999e-02	2.100000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Attuatore Alettone_pm	6.900000000000001e-02	2.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Attuatore Ruddervator dx_pm	6.800000000000000e-02	1.402000000000000e+00	0.000000000000000e+00	8.630000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Attuatore Ruddervator sx_pm	6.800000000000000e-02	2.200000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.039702130762993e+01	5.085019971673077e-01	-8.227361139565856e-05	8.195117950636249e-01	5.833307112840854e-01	1.040036998716569e+00	1.322124268524574e+00	-4.669952226987959e-04	9.167326541968675e-02	-5.809878752371276e-05	4.731396769537023e-02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
80 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
8.899999999999998e-03	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	2.953871616091030e-05
2.669999999999999e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.294528628940528e-04
4.450000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.282260121933252e-04
6.230000000000000e-02	6.233286895288293e-07	6.230000000000000e-02	-1.010804421903218e-04	9.028034353095479e-01	1.519223547549298e-11	4.232049445415065e-11	5.516151685063991e-11	3.243742456327836e-14	-3.700947147116118e-13	-5.185319556910131e-13	6.311116517753418e-04
8.010000000000000e-02	1.175829930646112e-06	7.066389841384939e-02	-4.173531514774213e-04	9.028792664421992e-01	2.743535903695615e-11	1.726682459661256e-10	1.955953601022169e-10	-3.294234463775493e-12	2.388529133086288e-13	-6.507807893710449e-13	9.798844924557124e-04
