Component,Group,Parameter,Value
WingGeom,XForm,Abs_Or_Relitive_flag,1.0
WingGeom,XForm,Last_Scale,1.0
WingGeom,XForm,Origin,0.0
WingGeom,XForm,Scale,1.0
WingGeom,XForm,X_Location,0.46
WingGeom,XForm,X_Rel_Location,0.46
WingGeom,XForm,X_Rel_Rotation,0.0
WingGeom,XForm,X_Rotation,0.0
WingGeom,XForm,Y_Location,0.0
WingGeom,XForm,Y_Rel_Location,0.0
WingGeom,XForm,Y_Rel_Rotation,3.0
WingGeom,XForm,Y_Rotation,3.0
WingGeom,XForm,Z_Location,0.853
WingGeom,XForm,Z_Rel_Location,0.853
WingGeom,XForm,Z_Rel_Rotation,0.0
WingGeom,XForm,Z_Rotation,0.0
WingGeom,Sym,Sym_Ancestor,1.0
WingGeom,Sym,Sym_Ancestor_Origin_Flag,1.0
WingGeom,Sym,Sym_Axial_Flag,0.0
WingGeom,Sym,Sym_Planar_Flag,2.0
WingGeom,Sym,Sym_Rot_N,2.0
WingGeom,Attach,Eta_Attach_Location,0.0
WingGeom,Attach,L_01,1.0
WingGeom,Attach,L_Attach_Location,0.0
WingGeom,Attach,L_Attach_Location0Len,0.0
WingGeom,Attach,M_Attach_Location,0.5
WingGeom,Attach,N_Attach_Location,0.5
WingGeom,Attach,R_01,1.0
WingGeom,Attach,R_Attach_Location,0.0
WingGeom,Attach,R_Attach_Location0N,0.0
WingGeom,Attach,Rots_Attach_Flag,0.0
WingGeom,Attach,S_Attach_Location,0.5
WingGeom,Attach,T_Attach_Location,0.5
WingGeom,Attach,Trans_Attach_Flag,0.0
WingGeom,Attach,U_01,1.0
WingGeom,Attach,U_Attach_Location,0.0
WingGeom,Attach,U_Attach_Location0N,0.0
WingGeom,Attach,V_Attach_Location,0.0
WingGeom,Shape,Tess_U,16.0
WingGeom,Shape,Tess_W,33.0
WingGeom,Shape,Wake,0.0
WingGeom,Negative_Volume_Props,Negative_Volume_Flag,0.0
WingGeom,WakeSettings,WakeAngle,0.0
WingGeom,WakeSettings,WakeScale,2.0
WingGeom,Mass_Props,CGx,0.15469
WingGeom,Mass_Props,CGy,0.0
WingGeom,Mass_Props,CGz,0.0
WingGeom,Mass_Props,Density,0.0
WingGeom,Mass_Props,Ixx,0.0
WingGeom,Mass_Props,Ixy,0.0
WingGeom,Mass_Props,Ixz,0.0
WingGeom,Mass_Props,Iyy,0.0
WingGeom,Mass_Props,Iyz,0.0
WingGeom,Mass_Props,Izz,0.0
WingGeom,Mass_Props,Mass_Area,0.0
WingGeom,Mass_Props,Mass_Prior,0.0
WingGeom,Mass_Props,PointMass,1.3
WingGeom,Mass_Props,Shell_Flag,0.0
WingGeom,WingGeom,CorrectAirfoilthicknessFlag,1.0
WingGeom,WingGeom,CurvedArea,0.9799999999999999
WingGeom,WingGeom,LECluster,0.25
WingGeom,WingGeom,MAC,0.35000000000000014
WingGeom,WingGeom,MaxGrowth,1.4370057560838392
WingGeom,WingGeom,RelativeDihedralFlag,0.0
WingGeom,WingGeom,RelativeTwistFlag,0.0
WingGeom,WingGeom,RotateAirfoilMatchDideralFlag,0.0
WingGeom,WingGeom,SmallPanelW,0.0032012658612284323
WingGeom,WingGeom,TECluster,0.25
WingGeom,WingGeom,TotalAR,7.999999999999999
WingGeom,WingGeom,TotalArea,0.98
WingGeom,WingGeom,TotalChord,0.35
WingGeom,WingGeom,TotalProjectedSpan,2.8
WingGeom,WingGeom,TotalSpan,2.8
WingGeom,WingGeom,TwistAllInXZPlaneFlag,0.0
WingGeom,BBox,X_Len,0.35178095727902414
WingGeom,BBox,X_Min,0.4591905472096792
WingGeom,BBox,Y_Len,2.8
WingGeom,BBox,Y_Min,-1.4
WingGeom,BBox,Z_Len,0.06084711446208879
WingGeom,BBox,Z_Min,0.8198444757197615
WingGeom,EndCap,CapUMaxLength,1.0
WingGeom,EndCap,CapUMaxOffset,0.0
WingGeom,EndCap,CapUMaxOption,1.0
WingGeom,EndCap,CapUMaxStrength,0.5
WingGeom,EndCap,CapUMaxSweepFlag,0.0
WingGeom,EndCap,CapUMinLength,1.0
WingGeom,EndCap,CapUMinOffset,0.0
WingGeom,EndCap,CapUMinOption,1.0
WingGeom,EndCap,CapUMinStrength,0.5
WingGeom,EndCap,CapUMinSweepFlag,0.0
WingGeom,EndCap,CapUMinTess,3.0
WingGeom,ParasiteDragProps,ExpandedList,0.0
WingGeom,ParasiteDragProps,FFBodyEqnType,3.0
WingGeom,ParasiteDragProps,FFUser,1.0
WingGeom,ParasiteDragProps,FFWingEqnType,3.0
WingGeom,ParasiteDragProps,IncorporatedGen,0.0
WingGeom,ParasiteDragProps,PercLam,0.0
WingGeom,ParasiteDragProps,Q,1.0
WingGeom,ParasiteDragProps,Roughness,-1.0
WingGeom,ParasiteDragProps,TawTwRatio,-1.0
WingGeom,ParasiteDragProps,TeTwRatio,-1.0
WingGeom,Index,ActiveAirfoil,1.0
WingGeom,Index,ActiveXSec,1.0
WingGeom,SubSurface,CreateBeamElements,0.0
WingGeom,SubSurface,IncludeFlag,0.0
WingGeom,SubSurface,IncludedElements,-1.0
WingGeom,SubSurface,KeepDelShellElements,0.0
WingGeom,SubSurface,MainSurfIndx,-1.0
WingGeom,FeaSubSurface,CapFeaPropertyIndex,-1.0
WingGeom,FeaSubSurface,DrawFeaPartFlag,1.0
WingGeom,FeaSubSurface,FeaPropertyIndex,-1.0
WingGeom,FeaSubSurface,Orientation,6.0
WingGeom,SS_Control,Abs_Rel_Flag,1.0
WingGeom,SS_Control,EndAngle,90.0
WingGeom,SS_Control,EndAngleFlag,0.0
WingGeom,SS_Control,EtaEnd,0.9
WingGeom,SS_Control,EtaFlag,1.0
WingGeom,SS_Control,EtaStart,0.6
WingGeom,SS_Control,LE_Flag,0.0
WingGeom,SS_Control,Length_C_End,0.25
WingGeom,SS_Control,Length_C_Start,0.25
WingGeom,SS_Control,Length_End,0.08750000000000001
WingGeom,SS_Control,Length_Start,0.08750000000000001
WingGeom,SS_Control,SE_Const_Flag,1.0
WingGeom,SS_Control,SameAngleFlag,1.0
WingGeom,SS_Control,StartAngle,90.0
WingGeom,SS_Control,StartAngleFlag,0.0
WingGeom,SS_Control,Surf_Type,2.0
WingGeom,SS_Control,Tess_Num,15.0
WingGeom,SS_Control,Test_Type,0.0
WingGeom,SS_Control,UEnd,0.6333333333333333
WingGeom,SS_Control,UStart,0.5333333333333333
WingGeom,XSec,Area,0.49
WingGeom,XSec,Aspect,3.9999999999999996
WingGeom,XSec,Avg_Chord,0.35000000000000003
WingGeom,XSec,Dihedral,0.0
WingGeom,XSec,InCluster,1.0
WingGeom,XSec,InLEDihedral,7.016709298534877e-15
WingGeom,XSec,InLEMode,0.0
WingGeom,XSec,InLEStrength,1.0
WingGeom,XSec,InLESweep,0.0
WingGeom,XSec,InTEDihedral,-7.016709298534877e-15
WingGeom,XSec,InTEMode,0.0
WingGeom,XSec,InTEStrength,1.0
WingGeom,XSec,InTESweep,0.0
WingGeom,XSec,OutCluster,1.0
WingGeom,XSec,OutLEDihedral,-7.016709298534877e-15
WingGeom,XSec,OutLEMode,0.0
WingGeom,XSec,OutLEStrength,1.0
WingGeom,XSec,OutLESweep,0.0
WingGeom,XSec,OutTEDihedral,7.016709298534877e-15
WingGeom,XSec,OutTEMode,0.0
WingGeom,XSec,OutTEStrength,1.0
WingGeom,XSec,OutTESweep,0.0
WingGeom,XSec,ProjectedSpan,1.4
WingGeom,XSec,Root_Chord,0.35000000000000003
WingGeom,XSec,RotateMatchDideralFlag,0.0
WingGeom,XSec,Sec_Sweep,0.0
WingGeom,XSec,Sec_Sweep_Location,1.0
WingGeom,XSec,SectTess_U,6.0
WingGeom,XSec,Span,1.4
WingGeom,XSec,Sweep,0.0
WingGeom,XSec,Sweep_Location,0.0
WingGeom,XSec,Taper,1.0
WingGeom,XSec,Tip_Chord,0.35000000000000003
WingGeom,XSec,Twist,0.0
WingGeom,XSec,TwistInXZPlaneFlag,0.0
WingGeom,XSec,Twist_Location,0.25
WingGeom,XSecCurve,Area,0.009987910879789811
WingGeom,XSecCurve,Camber,0.02
WingGeom,XSecCurve,CamberInputFlag,0.0
WingGeom,XSecCurve,CamberLoc,0.4
WingGeom,XSecCurve,Chord,0.35000000000000003
WingGeom,XSecCurve,DeltaX,0.0
WingGeom,XSecCurve,DeltaY,0.0
WingGeom,XSecCurve,FitDegree,7.0
WingGeom,XSecCurve,HWRatio,0.12
WingGeom,XSecCurve,IdealCl,0.25602453815651
WingGeom,XSecCurve,Invert,0.0
WingGeom,XSecCurve,Scale,1.0
WingGeom,XSecCurve,SharpTEFlag,1.0
WingGeom,XSecCurve,ShiftLE,0.0
WingGeom,XSecCurve,Theta,0.0
WingGeom,XSecCurve,ThickChord,0.12
WingGeom,Cap,LE_Cap_Length,1.0
WingGeom,Cap,LE_Cap_Offset,0.0
WingGeom,Cap,LE_Cap_Strength,0.5
WingGeom,Cap,LE_Cap_Type,1.0
WingGeom,Cap,TE_Cap_Length,1.0
WingGeom,Cap,TE_Cap_Offset,0.0
WingGeom,Cap,TE_Cap_Strength,0.5
WingGeom,Cap,TE_Cap_Type,1.0
WingGeom,Close,LE_Close_AbsRel,0.0
WingGeom,Close,LE_Close_Thick,0.0
WingGeom,Close,LE_Close_Thick_Chord,0.0
WingGeom,Close,LE_Close_Type,0.0
WingGeom,Close,TE_Close_AbsRel,0.0
WingGeom,Close,TE_Close_Thick,0.0
WingGeom,Close,TE_Close_Thick_Chord,0.0
WingGeom,Close,TE_Close_Type,0.0
WingGeom,Trim,LE_Trim_AbsRel,0.0
WingGeom,Trim,LE_Trim_Thick,0.0
WingGeom,Trim,LE_Trim_Thick_Chord,0.0
WingGeom,Trim,LE_Trim_Type,0.0
WingGeom,Trim,LE_Trim_X,0.0
WingGeom,Trim,LE_Trim_X_Chord,0.0
WingGeom,Trim,TE_Trim_AbsRel,0.0
WingGeom,Trim,TE_Trim_Thick,0.0
WingGeom,Trim,TE_Trim_Thick_Chord,0.0
WingGeom,Trim,TE_Trim_Type,0.0
WingGeom,Trim,TE_Trim_X,0.0
WingGeom,Trim,TE_Trim_X_Chord,0.0
WingGeom,Flap,TE_Flap_DT,0.0
WingGeom,Flap,TE_Flap_Deflection,0.0
WingGeom,Flap,TE_Flap_Flag,0.0
WingGeom,Flap,TE_Flap_T,0.2
WingGeom,Flap,TE_Flap_Type,0.0
WingGeom,Flap,TE_Flap_X,0.0
WingGeom,Flap,TE_Flap_X_Chord,0.2
WingGeom,Flap,TE_Flap_Y_Frc,0.5
WingGeom,Flap,TE_Trim_AbsRel,1.0
WingGeom,XSecCurve_Background,XSecFlipImageFlag,0.0
WingGeom,XSecCurve_Background,XSecImageFlag,0.0
WingGeom,XSecCurve_Background,XSecImageH,1.0
WingGeom,XSecCurve_Background,XSecImagePreserveAR,1.0
WingGeom,XSecCurve_Background,XSecImageW,1.0
WingGeom,XSecCurve_Background,XSecImageXOffset,0.0
WingGeom,XSecCurve_Background,XSecImageYOffset,0.0
WingGeom,XSecCurve_Background,XSecLockImageFlag,0.0
WingGeom,Chevron,AllSym,1.0
WingGeom,Chevron,BottomAmplitude,1.0
WingGeom,Chevron,Bottom_Angle,0.0
WingGeom,Chevron,Bottom_Slew,0.0
WingGeom,Chevron,Chevron_Type,0.0
WingGeom,Chevron,LeftAmplitude,1.0
WingGeom,Chevron,Left_Angle,0.0
WingGeom,Chevron,Left_Slew,0.0
WingGeom,Chevron,Number,8.0
WingGeom,Chevron,Off_Duty,0.0
WingGeom,Chevron,On_Duty,0.0
WingGeom,Chevron,Peak_Radius,0.0
WingGeom,Chevron,RLSym,1.0
WingGeom,Chevron,RightAmplitude,1.0
WingGeom,Chevron,Right_Angle,0.0
WingGeom,Chevron,Right_Slew,0.0
WingGeom,Chevron,TBSym,1.0
WingGeom,Chevron,TopAmplitude,1.0
WingGeom,Chevron,Top_Angle,0.0
WingGeom,Chevron,Top_Slew,0.0
WingGeom,Chevron,Valley_Radius,0.0
WingGeom,Chevron,W01_Center,0.25
WingGeom,Chevron,W01_Center_Guide,5.0
WingGeom,Chevron,W01_End,0.5
WingGeom,Chevron,W01_End_Guide,5.0
WingGeom,Chevron,W01_Mode,0.0
WingGeom,Chevron,W01_Start,0.0
WingGeom,Chevron,W01_Start_Guide,5.0
WingGeom,Chevron,W01_Width,0.5
Batteria_1,Design,Length,0.05
Batteria_1,Design,Width,0.14
Batteria_1,Design,Height,0.04
Batteria_1,Design,SquareFlag,0.0
Batteria_1,XForm,Abs_Or_Relitive_flag,1.0
Batteria_1,XForm,Last_Scale,1.0
Batteria_1,XForm,Origin,0.0
Batteria_1,XForm,Scale,1.0
Batteria_1,XForm,X_Location,0.42
Batteria_1,XForm,X_Rel_Location,0.42
Batteria_1,XForm,X_Rel_Rotation,0.0
Batteria_1,XForm,X_Rotation,0.0
Batteria_1,XForm,Y_Location,0.0
Batteria_1,XForm,Y_Rel_Location,0.0
Batteria_1,XForm,Y_Rel_Rotation,0.0
Batteria_1,XForm,Y_Rotation,0.0
Batteria_1,XForm,Z_Location,0.798
Batteria_1,XForm,Z_Rel_Location,0.798
Batteria_1,XForm,Z_Rel_Rotation,90.0
Batteria_1,XForm,Z_Rotation,90.0
Batteria_1,Sym,Sym_Ancestor,1.0
Batteria_1,Sym,Sym_Ancestor_Origin_Flag,1.0
Batteria_1,Sym,Sym_Axial_Flag,0.0
Batteria_1,Sym,Sym_Planar_Flag,0.0
Batteria_1,Sym,Sym_Rot_N,2.0
Batteria_1,Attach,Eta_Attach_Location,0.0
Batteria_1,Attach,L_01,1.0
Batteria_1,Attach,L_Attach_Location,0.0
Batteria_1,Attach,L_Attach_Location0Len,0.0
Batteria_1,Attach,M_Attach_Location,0.5
Batteria_1,Attach,N_Attach_Location,0.5
Batteria_1,Attach,R_01,1.0
Batteria_1,Attach,R_Attach_Location,0.0
Batteria_1,Attach,R_Attach_Location0N,0.0
Batteria_1,Attach,Rots_Attach_Flag,0.0
Batteria_1,Attach,S_Attach_Location,0.5
Batteria_1,Attach,T_Attach_Location,0.5
Batteria_1,Attach,Trans_Attach_Flag,0.0
Batteria_1,Attach,U_01,1.0
Batteria_1,Attach,U_Attach_Location,0.0
Batteria_1,Attach,U_Attach_Location0N,0.0
Batteria_1,Attach,V_Attach_Location,0.0
Batteria_1,Shape,Tess_U,10.0
Batteria_1,Shape,Tess_W,9.0
Batteria_1,Shape,Wake,0.0
Batteria_1,Negative_Volume_Props,Negative_Volume_Flag,0.0
Batteria_1,WakeSettings,WakeAngle,0.0
Batteria_1,WakeSettings,WakeScale,2.0
Batteria_1,Mass_Props,CGx,0.025
Batteria_1,Mass_Props,CGy,0.0
Batteria_1,Mass_Props,CGz,0.0
Batteria_1,Mass_Props,Density,0.0
Batteria_1,Mass_Props,Ixx,0.0
Batteria_1,Mass_Props,Ixy,0.0
Batteria_1,Mass_Props,Ixz,0.0
Batteria_1,Mass_Props,Iyy,0.0
Batteria_1,Mass_Props,Iyz,0.0
Batteria_1,Mass_Props,Izz,0.0
Batteria_1,Mass_Props,Mass_Area,0.0
Batteria_1,Mass_Props,Mass_Prior,1.0
Batteria_1,Mass_Props,PointMass,0.973
Batteria_1,Mass_Props,Shell_Flag,0.0
Batteria_1,BBox,X_Len,0.14
Batteria_1,BBox,X_Min,0.35
Batteria_1,BBox,Y_Len,0.050000000000000024
Batteria_1,BBox,Y_Min,-4.286263797015737e-18
Batteria_1,BBox,Z_Len,0.04
Batteria_1,BBox,Z_Min,0.778
Batteria_1,EndCap,CapUMaxLength,1.0
Batteria_1,EndCap,CapUMaxOffset,0.0
Batteria_1,EndCap,CapUMaxOption,0.0
Batteria_1,EndCap,CapUMaxStrength,0.5
Batteria_1,EndCap,CapUMaxSweepFlag,0.0
Batteria_1,EndCap,CapUMinLength,1.0
Batteria_1,EndCap,CapUMinOffset,0.0
Batteria_1,EndCap,CapUMinOption,0.0
Batteria_1,EndCap,CapUMinStrength,0.5
Batteria_1,EndCap,CapUMinSweepFlag,0.0
Batteria_1,EndCap,CapUMinTess,3.0
Batteria_1,ParasiteDragProps,ExpandedList,0.0
Batteria_1,ParasiteDragProps,FFBodyEqnType,3.0
Batteria_1,ParasiteDragProps,FFUser,1.0
Batteria_1,ParasiteDragProps,FFWingEqnType,3.0
Batteria_1,ParasiteDragProps,IncorporatedGen,0.0
Batteria_1,ParasiteDragProps,PercLam,0.0
Batteria_1,ParasiteDragProps,Q,1.0
Batteria_1,ParasiteDragProps,Roughness,0.0
Batteria_1,ParasiteDragProps,TawTwRatio,1.0
Batteria_1,ParasiteDragProps,TeTwRatio,1.0
Batteria_2,Design,Length,0.05
Batteria_2,Design,Width,0.14
Batteria_2,Design,Height,0.04
Batteria_2,Design,SquareFlag,0.0
Batteria_2,XForm,Abs_Or_Relitive_flag,1.0
Batteria_2,XForm,Last_Scale,1.0
Batteria_2,XForm,Origin,0.0
Batteria_2,XForm,Scale,1.0
Batteria_2,XForm,X_Location,0.42
Batteria_2,XForm,X_Rel_Location,0.42
Batteria_2,XForm,X_Rel_Rotation,0.0
Batteria_2,XForm,X_Rotation,0.0
Batteria_2,XForm,Y_Location,-0.05
Batteria_2,XForm,Y_Rel_Location,-0.05
Batteria_2,XForm,Y_Rel_Rotation,0.0
Batteria_2,XForm,Y_Rotation,0.0
Batteria_2,XForm,Z_Location,0.798
Batteria_2,XForm,Z_Rel_Location,0.798
Batteria_2,XForm,Z_Rel_Rotation,90.0
Batteria_2,XForm,Z_Rotation,90.0
Batteria_2,Sym,Sym_Ancestor,1.0
Batteria_2,Sym,Sym_Ancestor_Origin_Flag,1.0
Batteria_2,Sym,Sym_Axial_Flag,0.0
Batteria_2,Sym,Sym_Planar_Flag,0.0
Batteria_2,Sym,Sym_Rot_N,2.0
Batteria_2,Attach,Eta_Attach_Location,0.0
Batteria_2,Attach,L_01,1.0
Batteria_2,Attach,L_Attach_Location,0.0
Batteria_2,Attach,L_Attach_Location0Len,0.0
Batteria_2,Attach,M_Attach_Location,0.5
Batteria_2,Attach,N_Attach_Location,0.5
Batteria_2,Attach,R_01,1.0
Batteria_2,Attach,R_Attach_Location,0.0
Batteria_2,Attach,R_Attach_Location0N,0.0
Batteria_2,Attach,Rots_Attach_Flag,0.0
Batteria_2,Attach,S_Attach_Location,0.5
Batteria_2,Attach,T_Attach_Location,0.5
Batteria_2,Attach,Trans_Attach_Flag,0.0
Batteria_2,Attach,U_01,1.0
Batteria_2,Attach,U_Attach_Location,0.0
Batteria_2,Attach,U_Attach_Location0N,0.0
Batteria_2,Attach,V_Attach_Location,0.0
Batteria_2,Shape,Tess_U,10.0
Batteria_2,Shape,Tess_W,9.0
Batteria_2,Shape,Wake,0.0
Batteria_2,Negative_Volume_Props,Negative_Volume_Flag,0.0
Batteria_2,WakeSettings,WakeAngle,0.0
Batteria_2,WakeSettings,WakeScale,2.0
Batteria_2,Mass_Props,CGx,0.0252
Batteria_2,Mass_Props,CGy,0.0
Batteria_2,Mass_Props,CGz,0.0
Batteria_2,Mass_Props,Density,0.0
Batteria_2,Mass_Props,Ixx,0.0
Batteria_2,Mass_Props,Ixy,0.0
Batteria_2,Mass_Props,Ixz,0.0
Batteria_2,Mass_Props,Iyy,0.0
Batteria_2,Mass_Props,Iyz,0.0
Batteria_2,Mass_Props,Izz,0.0
Batteria_2,Mass_Props,Mass_Area,0.0
Batteria_2,Mass_Props,Mass_Prior,1.0
Batteria_2,Mass_Props,PointMass,0.973
Batteria_2,Mass_Props,Shell_Flag,0.0
Batteria_2,BBox,X_Len,0.14
Batteria_2,BBox,X_Min,0.35
Batteria_2,BBox,Y_Len,0.050000000000000024
Batteria_2,BBox,Y_Min,-0.05000000000000001
Batteria_2,BBox,Z_Len,0.04
Batteria_2,BBox,Z_Min,0.778
Batteria_2,EndCap,CapUMaxLength,1.0
Batteria_2,EndCap,CapUMaxOffset,0.0
Batteria_2,EndCap,CapUMaxOption,0.0
Batteria_2,EndCap,CapUMaxStrength,0.5
Batteria_2,EndCap,CapUMaxSweepFlag,0.0
Batteria_2,EndCap,CapUMinLength,1.0
Batteria_2,EndCap,CapUMinOffset,0.0
Batteria_2,EndCap,CapUMinOption,0.0
Batteria_2,EndCap,CapUMinStrength,0.5
Batteria_2,EndCap,CapUMinSweepFlag,0.0
Batteria_2,EndCap,CapUMinTess,3.0
Batteria_2,ParasiteDragProps,ExpandedList,0.0
Batteria_2,ParasiteDragProps,FFBodyEqnType,3.0
Batteria_2,ParasiteDragProps,FFUser,1.0
Batteria_2,ParasiteDragProps,FFWingEqnType,3.0
Batteria_2,ParasiteDragProps,IncorporatedGen,0.0
Batteria_2,ParasiteDragProps,PercLam,0.0
Batteria_2,ParasiteDragProps,Q,1.0
Batteria_2,ParasiteDragProps,Roughness,0.0
Batteria_2,ParasiteDragProps,TawTwRatio,1.0
Batteria_2,ParasiteDragProps,TeTwRatio,1.0
Serbatoio,Design,Length,0.205
Serbatoio,Design,Width,0.105
Serbatoio,Design,Height,0.071
Serbatoio,Design,SquareFlag,0.0
Serbatoio,XForm,Abs_Or_Relitive_flag,1.0
Serbatoio,XForm,Last_Scale,1.0
Serbatoio,XForm,Origin,0.0
Serbatoio,XForm,Scale,1.0
Serbatoio,XForm,X_Location,0.045
Serbatoio,XForm,X_Rel_Location,0.045
Serbatoio,XForm,X_Rel_Rotation,0.0
Serbatoio,XForm,X_Rotation,0.0
Serbatoio,XForm,Y_Location,0.0
Serbatoio,XForm,Y_Rel_Location,0.0
Serbatoio,XForm,Y_Rel_Rotation,0.0
Serbatoio,XForm,Y_Rotation,0.0
Serbatoio,XForm,Z_Location,0.835
Serbatoio,XForm,Z_Rel_Location,0.835
Serbatoio,XForm,Z_Rel_Rotation,0.0
Serbatoio,XForm,Z_Rotation,0.0
Serbatoio,Sym,Sym_Ancestor,1.0
Serbatoio,Sym,Sym_Ancestor_Origin_Flag,1.0
Serbatoio,Sym,Sym_Axial_Flag,0.0
Serbatoio,Sym,Sym_Planar_Flag,0.0
Serbatoio,Sym,Sym_Rot_N,2.0
Serbatoio,Attach,Eta_Attach_Location,0.0
Serbatoio,Attach,L_01,1.0
Serbatoio,Attach,L_Attach_Location,0.0
Serbatoio,Attach,L_Attach_Location0Len,0.0
Serbatoio,Attach,M_Attach_Location,0.5
Serbatoio,Attach,N_Attach_Location,0.5
Serbatoio,Attach,R_01,1.0
Serbatoio,Attach,R_Attach_Location,0.0
Serbatoio,Attach,R_Attach_Location0N,0.0
Serbatoio,Attach,Rots_Attach_Flag,0.0
Serbatoio,Attach,S_Attach_Location,0.5
Serbatoio,Attach,T_Attach_Location,0.5
Serbatoio,Attach,Trans_Attach_Flag,0.0
Serbatoio,Attach,U_01,1.0
Serbatoio,Attach,U_Attach_Location,0.0
Serbatoio,Attach,U_Attach_Location0N,0.0
Serbatoio,Attach,V_Attach_Location,0.0
Serbatoio,Shape,Tess_U,10.0
Serbatoio,Shape,Tess_W,9.0
Serbatoio,Shape,Wake,0.0
Serbatoio,Negative_Volume_Props,Negative_Volume_Flag,0.0
Serbatoio,WakeSettings,WakeAngle,0.0
Serbatoio,WakeSettings,WakeScale,2.0
Serbatoio,Mass_Props,CGx,0.1
Serbatoio,Mass_Props,CGy,0.0
Serbatoio,Mass_Props,CGz,0.0
Serbatoio,Mass_Props,Density,0.0
Serbatoio,Mass_Props,Ixx,0.0
Serbatoio,Mass_Props,Ixy,0.0
Serbatoio,Mass_Props,Ixz,0.0
Serbatoio,Mass_Props,Iyy,0.0
Serbatoio,Mass_Props,Iyz,0.0
Serbatoio,Mass_Props,Izz,0.0
Serbatoio,Mass_Props,Mass_Area,0.0
Serbatoio,Mass_Props,Mass_Prior,1.0
Serbatoio,Mass_Props,PointMass,1.18
Serbatoio,Mass_Props,Shell_Flag,0.0
Serbatoio,BBox,X_Len,0.20500000000000007
Serbatoio,BBox,X_Min,0.045
Serbatoio,BBox,Y_Len,0.105
Serbatoio,BBox,Y_Min,-0.0525
Serbatoio,BBox,Z_Len,0.07099999999999995
Serbatoio,BBox,Z_Min,0.7995
Serbatoio,EndCap,CapUMaxLength,1.0
Serbatoio,EndCap,CapUMaxOffset,0.0
Serbatoio,EndCap,CapUMaxOption,0.0
Serbatoio,EndCap,CapUMaxStrength,0.5
Serbatoio,EndCap,CapUMaxSweepFlag,0.0
Serbatoio,EndCap,CapUMinLength,1.0
Serbatoio,EndCap,CapUMinOffset,0.0
Serbatoio,EndCap,CapUMinOption,0.0
Serbatoio,EndCap,CapUMinStrength,0.5
Serbatoio,EndCap,CapUMinSweepFlag,0.0
Serbatoio,EndCap,CapUMinTess,3.0
Serbatoio,ParasiteDragProps,ExpandedList,0.0
Serbatoio,ParasiteDragProps,FFBodyEqnType,3.0
Serbatoio,ParasiteDragProps,FFUser,1.0
Serbatoio,ParasiteDragProps,FFWingEqnType,3.0
Serbatoio,ParasiteDragProps,IncorporatedGen,0.0
Serbatoio,ParasiteDragProps,PercLam,0.0
Serbatoio,ParasiteDragProps,Q,1.0
Serbatoio,ParasiteDragProps,Roughness,0.0
Serbatoio,ParasiteDragProps,TawTwRatio,1.0
Serbatoio,ParasiteDragProps,TeTwRatio,1.0
FuselageGeom,XForm,Abs_Or_Relitive_flag,1.0
FuselageGeom,XForm,Last_Scale,1.0
FuselageGeom,XForm,Origin,0.0
FuselageGeom,XForm,Scale,1.0
FuselageGeom,XForm,X_Location,0.0
FuselageGeom,XForm,X_Rel_Location,0.0
FuselageGeom,XForm,X_Rel_Rotation,0.0
FuselageGeom,XForm,X_Rotation,0.0
FuselageGeom,XForm,Y_Location,0.0
FuselageGeom,XForm,Y_Rel_Location,0.0
FuselageGeom,XForm,Y_Rel_Rotation,0.0
FuselageGeom,XForm,Y_Rotation,0.0
FuselageGeom,XForm,Z_Location,0.8333333333333339
FuselageGeom,XForm,Z_Rel_Location,0.8333333333333339
FuselageGeom,XForm,Z_Rel_Rotation,0.0
FuselageGeom,XForm,Z_Rotation,0.0
FuselageGeom,Sym,Sym_Ancestor,1.0
FuselageGeom,Sym,Sym_Ancestor_Origin_Flag,1.0
FuselageGeom,Sym,Sym_Axial_Flag,0.0
FuselageGeom,Sym,Sym_Planar_Flag,0.0
FuselageGeom,Sym,Sym_Rot_N,2.0
FuselageGeom,Attach,Eta_Attach_Location,0.0
FuselageGeom,Attach,L_01,1.0
FuselageGeom,Attach,L_Attach_Location,0.0
FuselageGeom,Attach,L_Attach_Location0Len,0.0
FuselageGeom,Attach,M_Attach_Location,0.5
FuselageGeom,Attach,N_Attach_Location,0.5
FuselageGeom,Attach,R_01,1.0
FuselageGeom,Attach,R_Attach_Location,0.0
FuselageGeom,Attach,R_Attach_Location0N,0.0
FuselageGeom,Attach,Rots_Attach_Flag,0.0
FuselageGeom,Attach,S_Attach_Location,0.5
FuselageGeom,Attach,T_Attach_Location,0.5
FuselageGeom,Attach,Trans_Attach_Flag,0.0
FuselageGeom,Attach,U_01,1.0
FuselageGeom,Attach,U_Attach_Location,0.0
FuselageGeom,Attach,U_Attach_Location0N,0.0
FuselageGeom,Attach,V_Attach_Location,0.0
FuselageGeom,Shape,Tess_U,16.0
FuselageGeom,Shape,Tess_W,17.0
FuselageGeom,Shape,Wake,0.0
FuselageGeom,EngineModel,AutoExtensionFlag,0.0
FuselageGeom,EngineModel,AutoExtensionSet,1.0
FuselageGeom,EngineModel,ExtensionDistance,10.0
FuselageGeom,EngineModel,GeomIOType,0.0
FuselageGeom,EngineModel,GeomInType,0.0
FuselageGeom,EngineModel,GeomOutType,1.0
FuselageGeom,EngineModel,InletFaceIndex,0.0
FuselageGeom,EngineModel,InletFaceMode,0.0
FuselageGeom,EngineModel,InletFaceU,0.0
FuselageGeom,EngineModel,InletLipIndex,0.0
